Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Tokens,Stemmed_Text,Polarity,Predicted_Sentiment
10,10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,"['published', 'new', 'blog', 'post', 'check']","['publish', 'new', 'blog', 'post', 'check']",0.17045454545454544,Positive
11,11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,"['feeling', 'bit', 'weather', 'today']","['feel', 'bit', 'weather', 'today']",0.0,Neutral
12,12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,"['exploring', 'city', 'hidden', 'gems']","['explor', 'citi', 'hidden', 'gem']",-0.16666666666666666,Negative
13,13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,"['new', 'year', 'new', 'fitness', 'goals']","['new', 'year', 'new', 'fit', 'goal']",0.15340909090909088,Positive
14,14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,"['technology', 'changing', 'way', 'live']","['technolog', 'chang', 'way', 'live']",0.13636363636363635,Positive
15,15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,"['reflecting', 'past', 'looking', 'ahead']","['reflect', 'past', 'look', 'ahead']",-0.25,Negative
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,"['adopted', 'cute', 'furry', 'friend']","['adopt', 'cute', 'furri', 'friend']",0.625,Positive
17,17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,"['late', 'night', 'gaming', 'session', 'friends']","['late', 'night', 'game', 'session', 'friend']",0.0,Neutral
18,18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,"['attending', 'virtual', 'conference', 'ai']","['attend', 'virtual', 'confer', 'ai']",0.0,Neutral
19,19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,"['winter', 'blues', 'got', 'feeling', 'low']","['winter', 'blue', 'got', 'feel', 'low']",0.0,Neutral
20,20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,"['sipping', 'coffee', 'enjoying', 'good', 'book']","['sip', 'coffe', 'enjoy', 'good', 'book']",0.6,Positive
21,21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,"['exploring', 'world', 'virtual', 'reality']","['explor', 'world', 'virtual', 'realiti']",0.0,Neutral
22,22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,"['productive', 'day', 'ticking', 'list']","['product', 'day', 'tick', 'list']",0.0,Neutral
23,23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,"['finished', 'challenging', 'workout', 'routine']","['finish', 'challeng', 'workout', 'routin']",0.5,Positive
24,24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,"['celebrating', 'milestone', 'work']","['celebr', 'mileston', 'work']",0.0,Neutral
25,25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,"['sunday', 'brunch', 'friends']","['sunday', 'brunch', 'friend']",0.0,Neutral
27,28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,"['learning', 'new', 'language', 'personal', 'growth']","['learn', 'new', 'languag', 'person', 'growth']",0.06818181818181818,Neutral
28,29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,"['quiet', 'evening', 'good', 'book']","['quiet', 'even', 'good', 'book']",0.35,Positive
29,30, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,"['reflecting', 'importance', 'mental', 'health']","['reflect', 'import', 'mental', 'health']",-0.1,Neutral
30,31, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,"['new', 'painting', 'progress']","['new', 'paint', 'progress']",0.17045454545454544,Positive
31,32, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,"['weekend', 'road', 'trip', 'explore', 'scenic', 'views']","['weekend', 'road', 'trip', 'explor', 'scenic', 'view']",0.0,Neutral
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,"['enjoying', 'cup', 'tea', 'watching', 'sunset']","['enjoy', 'cup', 'tea', 'watch', 'sunset']",0.5,Positive
33,34, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,"['coding', 'new', 'project', 'enthusiasm']","['code', 'new', 'project', 'enthusiasm']",0.13636363636363635,Positive
34,35, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,"['feeling', 'inspired', 'attending', 'workshop']","['feel', 'inspir', 'attend', 'workshop']",0.0,Neutral
35,36, Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,"['winter', 'sports', 'day', 'local', 'park']","['winter', 'sport', 'day', 'local', 'park']",0.0,Neutral
36,37, Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,"['quality', 'time', 'family', 'weekend']","['qualiti', 'time', 'famili', 'weekend']",0.0,Neutral
37,38, Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,"['attending', 'live', 'music', 'concert', 'tonight']","['attend', 'live', 'music', 'concert', 'tonight']",0.13636363636363635,Positive
38,39, Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,"['practicing', 'mindfulness', 'meditation']","['practic', 'mind', 'medit']",0.0,Neutral
39,40, Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,"['trying', 'new', 'dessert', 'recipe']","['tri', 'new', 'dessert', 'recip']",0.13636363636363635,Positive
40,41, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,"['excited', 'upcoming', 'gaming', 'tournament']","['excit', 'upcom', 'game', 'tournament']",0.375,Positive
41,42, Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,"['planning', 'garden', 'makeover', 'spring']","['plan', 'garden', 'makeov', 'spring']",0.0,Neutral
42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,"['celebrating', 'friend', 'birthday', 'tonight']","['celebr', 'friend', 'birthday', 'tonight']",0.0,Neutral
43,44, Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,"['feeling', 'accomplished', 'productive', 'day']","['feel', 'accomplish', 'product', 'day']",0.2,Positive
44,45, A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,"['cozy', 'evening', 'good', 'movie']","['cozi', 'even', 'good', 'movi']",0.25,Positive
45,46, Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,"['exploring', 'local', 'art', 'galleries', 'weekend']","['explor', 'local', 'art', 'galleri', 'weekend']",0.0,Neutral
46,47, New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,"['new', 'book', 'release', 'favorite', 'author']","['new', 'book', 'releas', 'favorit', 'author']",0.3806818181818182,Positive
47,48, Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,"['attending', 'virtual', 'reality', 'meetup']","['attend', 'virtual', 'realiti', 'meetup']",0.0,Neutral
48,49, Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,"['reflecting', 'beauty', 'nature']","['reflect', 'beauti', 'natur']",0.0,Neutral
49,50, Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,"['cooking', 'special', 'dinner', 'loved', 'ones']","['cook', 'special', 'dinner', 'love', 'one']",0.5285714285714286,Positive
50,51, Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,"['feeling', 'optimistic', 'week', 'ahead']","['feel', 'optimist', 'week', 'ahead']",0.0,Neutral
51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2023-02-01 08:00:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,"['starting', 'new', 'fitness', 'challenge', 'tomorrow']","['start', 'new', 'fit', 'challeng', 'tomorrow']",0.08522727272727272,Neutral
52,53, Sunday bike ride through scenic trails.           , Positive  ,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,"['sunday', 'bike', 'ride', 'scenic', 'trails']","['sunday', 'bike', 'ride', 'scenic', 'trail']",0.0,Neutral
53,55, Can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,"['believe', 'injustice', 'happening', 'society']","['believ', 'injustic', 'happen', 'societi']",0.0,Neutral
54,56, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,"['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie']","['feel', 'sens', 'fear', 'watch', 'thriller', 'movi']",0.0,Neutral
55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023-02-12 14:45:00, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,"['heartbroken', 'hearing', 'news', 'natural', 'disaster']","['heartbroken', 'hear', 'news', 'natur', 'disast']",0.1,Neutral
56,58, The state of the world's environment is just disgusting. , Disgust      ,2023-02-12 18:20:00, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,"['state', 'world', 'environment', 'disgusting']","['state', 'world', 'environ', 'disgust']",-1.0,Negative
57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,"['pure', 'happiness', 'celebrating', 'loved', 'one', 'achievement']","['pure', 'happi', 'celebr', 'love', 'one', 'achiev']",0.5964285714285714,Positive
58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,"['laughter', 'best', 'medicine', 'enjoying', 'comedy', 'show']","['laughter', 'best', 'medicin', 'enjoy', 'comedi', 'show']",1.0,Positive
59,61, Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,"['sharing', 'love', 'positive', 'vibes', 'everyone']","['share', 'love', 'posit', 'vibe', 'everyon']",0.39204545454545453,Positive
60,62, An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,"['amusing', 'incident', 'brightened', 'day']","['amus', 'incid', 'brighten', 'day']",0.75,Positive
61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,"['enjoying', 'quiet', 'evening', 'book', 'tea']","['enjoy', 'quiet', 'even', 'book', 'tea']",0.25,Positive
62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,"['admiring', 'beauty', 'nature', 'peaceful', 'hike']","['admir', 'beauti', 'natur', 'peac', 'hike']",0.25,Positive
63,65, Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,"['sending', 'affectionate', 'vibes', 'followers']","['send', 'affection', 'vibe', 'follow']",0.0,Neutral
64,66, Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,"['experiencing', 'awe', 'breathtaking', 'sunset']","['experienc', 'awe', 'breathtak', 'sunset']",1.0,Positive
65,67, Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,"['disappointed', 'service', 'local', 'restaurant']","['disappoint', 'servic', 'local', 'restaur']",-0.375,Negative
66,68, A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,"['surprise', 'gift', 'friend', 'made', 'day']","['surpris', 'gift', 'friend', 'made', 'day']",0.0,Neutral
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,"['finding', 'acceptance', 'midst', 'life', 'challenges']","['find', 'accept', 'midst', 'life', 'challeng']",0.0,Neutral
68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,"['overflowing', 'adoration', 'adorable', 'pet']","['overflow', 'ador', 'ador', 'pet']",0.625,Positive
69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,"['anticipating', 'thrilling', 'adventure', 'coming', 'weeks']","['anticip', 'thrill', 'adventur', 'come', 'week']",0.25,Positive
70,72, A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,"['bitter', 'experience', 'turned', 'valuable', 'lesson']","['bitter', 'experi', 'turn', 'valuabl', 'lesson']",-0.1,Neutral
71,73, Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,"['finding', 'calmness', 'midst', 'busy', 'day']","['find', 'calm', 'midst', 'busi', 'day']",0.1,Neutral
72,74, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,"['confusion', 'clouds', 'mind', 'navigate', 'decisions']","['confus', 'cloud', 'mind', 'navig', 'decis']",0.0,Neutral
73,75, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18,"['excitement', 'building', 'upcoming', 'vacation']","['excit', 'build', 'upcom', 'vacat']",0.0,Neutral
74,76, Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11,"['kindness', 'witnessed', 'today', 'restored', 'faith', 'humanity']","['kind', 'wit', 'today', 'restor', 'faith', 'human']",0.0,Neutral
75,77, Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16,"['pride', 'achieving', 'personal', 'milestone']","['pride', 'achiev', 'person', 'mileston']",0.0,Neutral
76,78, A moment of shame for not standing up against injustice. , Shame        ,2023-02-19 19:45:00, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19,"['moment', 'shame', 'standing', 'injustice']","['moment', 'shame', 'stand', 'injustic']",0.0,Neutral
77,79, Fuming with anger after a heated argument.            , Anger        ,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9,"['fuming', 'anger', 'heated', 'argument']","['fume', 'anger', 'heat', 'argument']",-0.7,Negative
78,80, The fear of the unknown is keeping me up at night.    , Fear         ,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21,"['fear', 'unknown', 'keeping', 'night']","['fear', 'unknown', 'keep', 'night']",-0.1,Neutral
79,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14,"['heartfelt', 'sadness', 'bidding', 'farewell', 'dear', 'friend']","['heartfelt', 'sad', 'bid', 'farewel', 'dear', 'friend']",0.0,Neutral
80,82, The state of corruption in our society is utterly disgusting. , Disgust      ,2023-02-21 18:20:00, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18,"['state', 'corruption', 'society', 'utterly', 'disgusting']","['state', 'corrupt', 'societi', 'utterli', 'disgust']",-1.0,Negative
81,83, Overflowing happiness: welcoming a new family member!  , Happiness    ,2023-02-22 10:00:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10,"['overflowing', 'happiness', 'welcoming', 'new', 'family', 'member']","['overflow', 'happi', 'welcom', 'new', 'famili', 'member']",0.4352272727272727,Positive
82,84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19,"['laughter', 'key', 'joy', 'attending', 'stand', 'comedy', 'show']","['laughter', 'key', 'joy', 'attend', 'stand', 'comedi', 'show']",0.0,Neutral
83,85, Sending love to all my followers on this beautiful day! ❤️ , Love         ,2023-02-23 08:30:00, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8,"['sending', 'love', 'followers', 'beautiful', 'day']","['send', 'love', 'follow', 'beauti', 'day']",0.75,Positive
84,86, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2023-02-23 14:20:00, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14,"['amused', 'antics', 'pet', 'pure', 'amusement']","['amus', 'antic', 'pet', 'pure', 'amus']",0.26785714285714285,Positive
85,87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19,"['enjoying', 'every', 'moment', 'trip', 'pure', 'enjoyment']","['enjoy', 'everi', 'moment', 'trip', 'pure', 'enjoy']",0.625,Positive
86,88, Admiring the dedication of volunteers at a local charity. , Admiration   ,2023-02-24 11:30:00, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11,"['admiring', 'dedication', 'volunteers', 'local', 'charity']","['admir', 'dedic', 'volunt', 'local', 'chariti']",0.0,Neutral
87,89, Sending affectionate vibes to friends and family.        , Affection    ,2023-02-24 16:00:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,"['sending', 'affectionate', 'vibes', 'friends', 'family']","['send', 'affection', 'vibe', 'friend', 'famili']",0.0,Neutral
88,90, Awe-struck by the beauty of the night sky.               , Awe          ,2023-02-24 20:30:00, Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20,"['awe', 'struck', 'beauty', 'night', 'sky']","['awe', 'struck', 'beauti', 'night', 'sky']",0.0,Neutral
89,91, Disappointed with the lack of progress in a personal project. , Disappointed ,2023-02-25 09:00:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9,"['disappointed', 'lack', 'progress', 'personal', 'project']","['disappoint', 'lack', 'progress', 'person', 'project']",-0.375,Negative
90,92, A surprise visit from an old friend brought tears of joy. , Surprise     ,2023-02-25 14:45:00, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0, USA          ,2023,2,25,14,"['surprise', 'visit', 'old', 'friend', 'brought', 'tears', 'joy']","['surpris', 'visit', 'old', 'friend', 'brought', 'tear', 'joy']",0.45,Positive
91,93, Embracing acceptance of life's ups and downs.           , Acceptance   ,2023-02-25 18:20:00, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0, Canada     ,2023,2,25,18,"['embracing', 'acceptance', 'life', 'ups', 'downs']","['embrac', 'accept', 'life', 'up', 'down']",0.0,Neutral
92,94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2023-02-26 10:45:00, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10,"['overflowing', 'adoration', 'cute', 'rescue', 'puppy']","['overflow', 'ador', 'cute', 'rescu', 'puppi']",0.625,Positive
